airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
LAX,Satellite 2,2018-01-01,0500 - 0600,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,0
LAX,Satellite 2,2018-01-01,0800 - 0900,70,89,0,0,70,89,1,0,0,2,15,0,0,1,19,1,0
LAX,Satellite 2,2018-01-01,0900 - 1000,10,19,15,26,13,26,88,43,0,0,0,0,0,12,143,2,8
LAX,Satellite 2,2018-01-01,1000 - 1100,9,20,11,22,10,22,215,29,0,0,0,0,0,8,252,2,8
LAX,Satellite 2,2018-01-01,1100 - 1200,18,38,22,45,19,45,117,159,39,0,0,0,0,12,327,3,7
LAX,Satellite 2,2018-01-01,1300 - 1400,9,36,13,28,11,36,166,40,4,0,0,0,0,9,219,2,7
LAX,Satellite 2,2018-01-01,1400 - 1500,7,20,16,50,11,50,112,28,4,2,0,0,0,7,153,2,7
LAX,Satellite 2,2018-01-01,1600 - 1700,20,37,19,37,20,37,58,158,23,0,0,0,0,8,247,3,6
LAX,Satellite 2,2018-01-01,1800 - 1900,8,18,10,16,8,18,235,14,0,0,0,0,0,2,251,2,5
LAX,Satellite 2,2018-01-01,1900 - 2000,15,34,20,36,17,36,105,90,16,0,0,0,0,7,218,1,5
LAX,Satellite 2,2018-01-01,2200 - 2300,27,61,0,0,27,61,10,1,1,4,4,0,0,4,24,2,0
LAX,Satellite 5,2018-01-01,1000 - 1100,3,10,0,0,3,10,19,0,0,0,0,0,0,2,21,2,0
LAX,Satellite 5,2018-01-01,1200 - 1300,4,10,7,9,5,10,6,0,0,0,0,0,0,1,7,1,0
LAX,Satellite 5,2018-01-01,1800 - 1900,2,6,0,0,2,6,5,0,0,0,0,0,0,1,6,1,0
LAX,Satellite 7,2018-01-01,0500 - 0600,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,0
LAX,Satellite 7,2018-01-01,0600 - 0700,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0
LAX,Satellite 7,2018-01-01,0900 - 1000,35,55,44,58,37,58,5,2,150,20,0,0,0,9,186,1,8
LAX,Satellite 7,2018-01-01,1000 - 1100,18,40,27,44,21,44,114,199,77,0,0,0,0,16,406,2,8
LAX,Satellite 7,2018-01-01,1200 - 1300,4,23,11,24,5,24,248,38,0,0,0,0,0,12,298,2,9
LAX,Satellite 7,2018-01-01,1500 - 1600,12,45,25,52,15,52,349,283,57,14,0,0,0,33,736,4,14
LAX,Satellite 7,2018-01-01,1600 - 1700,47,96,63,95,51,96,63,0,0,17,81,20,0,10,191,1,11
LAX,Satellite 7,2018-01-01,1700 - 1800,31,68,24,65,30,68,59,219,9,85,32,0,0,19,423,3,14
LAX,Satellite 7,2018-01-01,1800 - 1900,13,42,12,42,13,42,237,18,129,0,0,0,0,15,399,3,13
LAX,Satellite 7,2018-01-01,1900 - 2000,3,8,0,0,3,8,5,0,0,0,0,0,0,2,7,1,0
LAX,Satellite 7,2018-01-01,2000 - 2100,1,4,0,0,1,4,6,0,0,0,0,0,0,0,6,1,0
LAX,Satellite 7,2018-01-01,2200 - 2300,17,71,0,0,17,71,7,3,0,2,1,0,0,4,17,2,0
LAX,Terminal 4,2018-01-01,1100 - 1200,10,42,19,43,14,43,161,50,34,0,0,0,0,13,258,1,5
LAX,Terminal 4,2018-01-01,1300 - 1400,13,20,0,0,13,20,3,3,0,0,0,0,0,1,7,1,0
LAX,Terminal 4,2018-01-01,1400 - 1500,13,38,25,50,18,50,136,79,38,11,0,0,0,10,274,1,5
LAX,Terminal 4,2018-01-01,1600 - 1700,26,36,29,36,26,36,8,111,37,0,0,0,0,9,165,1,3
LAX,Tom Bradley International Terminal,2018-01-01,0500 - 0600,16,51,25,52,19,52,378,442,159,20,0,0,0,29,1028,4,29
LAX,Tom Bradley International Terminal,2018-01-01,0600 - 0700,15,50,15,49,15,50,1314,747,256,2,0,0,0,71,2390,8,33
LAX,Tom Bradley International Terminal,2018-01-01,0700 - 0800,9,25,11,24,10,25,363,100,0,0,0,0,0,13,476,2,27
LAX,Tom Bradley International Terminal,2018-01-01,0800 - 0900,13,50,18,51,15,51,980,677,116,10,0,0,0,71,1854,8,30
LAX,Tom Bradley International Terminal,2018-01-01,0900 - 1000,16,54,28,68,22,68,904,836,396,247,26,0,0,100,2509,10,38
LAX,Tom Bradley International Terminal,2018-01-01,1000 - 1100,18,42,25,51,21,51,368,199,272,33,0,0,0,35,907,4,31
LAX,Tom Bradley International Terminal,2018-01-01,1100 - 1200,14,48,19,57,16,57,1031,657,159,25,0,0,0,61,1933,9,31
