airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
MSP,Terminal 1Lindbergh,2018-01-01,0800 - 0900,6,12,6,22,6,22,62,3,0,0,0,0,0,2,67,1,2
MSP,Terminal 1Lindbergh,2018-01-01,1100 - 1200,10,33,18,34,13,34,158,88,16,0,0,0,0,10,272,1,8
MSP,Terminal 1Lindbergh,2018-01-01,1200 - 1300,16,49,30,52,19,52,208,239,49,27,0,0,0,23,546,2,8
MSP,Terminal 1Lindbergh,2018-01-01,1500 - 1600,10,37,25,52,14,52,312,69,42,6,0,0,0,15,444,2,6
MSP,Terminal 1Lindbergh,2018-01-01,1600 - 1700,9,16,12,12,9,16,148,1,0,0,0,0,0,6,155,1,2
MSP,Terminal 1Lindbergh,2018-01-01,1800 - 1900,9,30,19,29,10,30,241,71,0,0,0,0,0,7,319,2,4
MSP,Terminal 1Lindbergh,2018-01-01,2000 - 2100,12,23,13,22,12,23,99,55,0,0,0,0,0,3,157,1,4
MSP,Terminal 2Humphrey,2018-01-01,1100 - 1200,4,10,4,4,4,10,22,0,0,0,0,0,0,1,23,1,0
MSP,Terminal 2Humphrey,2018-01-01,1200 - 1300,6,13,8,11,6,13,22,0,0,0,0,0,0,2,24,2,0
MSP,Terminal 2Humphrey,2018-01-01,1400 - 1500,11,22,20,22,11,22,112,48,0,0,0,0,0,5,165,1,3
MSP,Terminal 2Humphrey,2018-01-01,1500 - 1600,5,14,0,0,5,14,26,0,0,0,0,0,0,2,28,2,0
MSP,Terminal 2Humphrey,2018-01-01,1600 - 1700,10,18,12,17,10,18,88,19,0,0,0,0,0,5,112,1,3
MSP,Terminal 2Humphrey,2018-01-01,1700 - 1800,20,55,30,51,22,55,44,103,13,10,0,0,0,6,176,1,3
MSP,Terminal 2Humphrey,2018-01-01,1900 - 2000,19,31,19,19,19,31,7,100,2,0,0,0,0,3,112,1,2
MSP,Terminal 1Lindbergh,2018-01-02,0800 - 0900,10,23,11,24,11,24,45,19,0,0,0,0,0,1,65,1,2
MSP,Terminal 1Lindbergh,2018-01-02,1200 - 1300,9,39,31,69,18,69,330,74,45,45,22,0,0,23,539,2,9
MSP,Terminal 1Lindbergh,2018-01-02,1300 - 1400,13,50,38,59,24,59,135,38,35,59,0,0,0,14,281,1,9
MSP,Terminal 1Lindbergh,2018-01-02,1500 - 1600,9,35,16,35,11,35,354,57,22,0,0,0,0,20,453,2,8
MSP,Terminal 1Lindbergh,2018-01-02,1600 - 1700,9,17,10,16,9,17,140,7,0,0,0,0,0,5,152,1,5
MSP,Terminal 1Lindbergh,2018-01-02,1800 - 1900,14,75,33,74,18,75,372,190,26,13,31,0,0,28,660,4,7
MSP,Terminal 1Lindbergh,2018-01-02,1900 - 2000,16,68,32,68,17,68,296,160,62,3,12,0,0,25,558,3,6
MSP,Terminal 1Lindbergh,2018-01-02,2000 - 2100,8,16,15,22,8,22,149,8,0,0,0,0,0,5,162,1,1
MSP,Terminal 1Lindbergh,2018-01-02,2100 - 2200,5,15,6,12,5,15,135,0,0,0,0,0,0,15,150,1,3
MSP,Terminal 2Humphrey,2018-01-02,1200 - 1300,4,9,7,9,4,9,23,0,0,0,0,0,0,1,24,2,0
MSP,Terminal 2Humphrey,2018-01-02,1300 - 1400,5,10,0,0,5,10,12,0,0,0,0,0,0,0,12,1,0
MSP,Terminal 2Humphrey,2018-01-02,1400 - 1500,9,21,12,21,9,21,145,18,0,0,0,0,0,4,167,1,3
