airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
SFO,Terminal A,2018-01-01,0900 - 1000,17,53,23,56,20,56,295,532,82,15,0,0,0,33,957,4,22
SFO,Terminal A,2018-01-01,1000 - 1100,12,24,18,24,15,24,65,70,0,0,0,0,0,6,141,1,21
SFO,Terminal A,2018-01-01,1200 - 1300,18,87,38,88,26,88,699,428,247,112,197,0,0,71,1754,6,23
SFO,Terminal A,2018-01-01,1300 - 1400,9,25,22,37,15,37,124,67,26,0,0,0,0,6,223,1,19
SFO,Terminal A,2018-01-01,1400 - 1500,15,45,25,46,18,46,543,444,176,4,0,0,0,50,1217,5,23
SFO,Terminal A,2018-01-01,1700 - 1800,33,48,33,48,33,48,8,68,121,14,0,0,0,5,216,2,1
SFO,Terminal A,2018-01-01,1800 - 1900,28,61,34,61,30,61,404,461,578,361,3,0,0,72,1879,9,25
SFO,Terminal A,2018-01-01,1900 - 2000,11,20,13,20,12,20,103,36,0,0,0,0,0,3,142,1,23
SFO,Terminal A,2018-01-01,2000 - 2100,17,35,23,35,18,35,102,133,29,0,0,0,0,14,278,1,16
SFO,Terminal A,2018-01-01,2100 - 2200,21,38,27,38,22,38,62,253,57,0,0,0,0,15,387,2,15
SFO,Terminal A,2018-01-01,2200 - 2300,25,41,31,41,27,41,4,114,55,0,0,0,0,10,183,1,9
SFO,Terminal A,2018-01-01,2300 - 0000,12,36,15,35,12,36,270,92,19,0,0,0,0,23,404,3,9
SFO,Terminal G,2018-01-01,0500 - 0600,30,81,49,81,39,81,1,173,123,71,61,0,0,18,447,2,12
SFO,Terminal G,2018-01-01,0600 - 0700,36,94,62,92,41,94,189,340,236,157,284,40,0,63,1309,4,26
SFO,Terminal G,2018-01-01,0700 - 0800,7,24,13,24,10,24,343,106,0,0,0,0,0,20,469,2,28
SFO,Terminal G,2018-01-01,0800 - 0900,13,44,22,46,16,46,517,395,91,4,0,0,0,47,1054,4,26
