county,FIPS,region,ru,population,pct_bach,income,biden,trump,other,total_votes
Adams,55001,Southern,Rural,20875,15.1,39885,4329,7362,127,11818
Ashland,55003,Northern,Rural,16157,19.1,38111,4801,3841,115,8757
Barron,55005,Western,Rural,45870,20.6,42601,9194,15803,349,25346
Bayfield,55007,Northern,Rural,15014,33.5,43176,6147,4617,116,10880
Brown,55009,Northeastern,Urban,248007,31.8,52553,65511,75871,2635,144017
Buffalo,55011,Western,Rural,13587,19.6,45302,2860,4834,122,7816
Burnett,55013,Western,Rural,15457,21.5,39626,3569,6462,110,10141
Calumet,55015,Northeastern,Urban,48971,30.2,61685,12116,18156,502,30774
Chippewa,55017,Western,Urban,62415,23.4,48672,13983,21317,638,35938
Clark,55019,Western,Rural,34690,13,42777,4524,10002,372,14898
Columbia,55021,Southern,Urban,56833,23.7,55910,16410,16927,532,33869
Crawford,55023,Southern,Rural,16644,17.7,39486,3953,4620,122,8695
Dane,55025,Southern,Urban,488073,53,60519,260121,78794,5813,344728
Dodge,55027,Southern,Rural,88759,18.8,52571,16356,31355,725,48436
Door,55029,Northeastern,Rural,27785,34.4,47775,10044,9752,321,20117
Douglas,55031,Western,Urban,44159,26.6,43127,13218,10923,536,24677
Dunn,55033,Western,Rural,43857,29.8,48376,9897,13173,454,23524
Eau Claire,55035,Western,Urban,98736,33.3,45846,31620,25341,1314,58275
Florence,55037,Northern,Rural,4423,20.6,40180,781,2133,26,2940
Fond du Lac,55039,Northeastern,Urban,101633,23,51549,20588,35754,909,57251
Forest,55041,Northern,Rural,9304,15,37627,1721,3285,47,5053
Grant,55043,Southern,Rural,51208,23.9,43889,10998,14142,468,25608
Green,55045,Southern,Urban,36842,24.5,53088,10851,10169,386,21406
Green Lake,55047,Northeastern,Rural,19051,21.6,47624,3344,7168,159,10671
Iowa,55049,Southern,Urban,23687,26.5,54737,7828,5909,255,13992
Iron,55051,Northern,Rural,5916,23,35618,1533,2438,39,4010
Jackson,55053,Western,Rural,20449,16.1,43191,4256,5791,137,10184
Jefferson,55055,Southeastern,Rural,83686,27.5,54769,19904,27208,867,47979
Juneau,55057,Southern,Rural,26664,15.5,45664,4746,8749,214,13709
Kenosha,55059,Southeastern,Urban,166426,29.3,54430,42193,44972,1573,88738
Kewaunee,55061,Northeastern,Urban,20574,19.2,54152,3976,7927,192,12095
La Crosse,55063,Western,Urban,114638,35.2,49328,37846,28684,1354,67884
Lafayette,55065,Southern,Rural,16836,19.4,48114,3647,4821,87,8555
Langlade,55067,Northern,Rural,19977,16,41034,3704,7330,131,11165
Lincoln,55069,Northern,Rural,28743,18.7,46625,6261,10017,219,16497
Manitowoc,55071,Northeastern,Rural,81442,22,49354,16818,27218,793,44829
Marathon,55073,Northern,Urban,134063,26.6,53471,30808,44624,1319,76751
Marinette,55075,Northeastern,Rural,41749,17.7,39698,7366,15304,309,22979
Marquette,55077,Northeastern,Rural,15404,13.7,45012,3239,5719,107,9065
Menominee,55078,Northeastern,Rural,4232,18.4,31076,1303,278,9,1590
Milwaukee,55079,Southeastern,Urban,947735,32.4,43215,317527,134482,7714,459723
Monroe,55081,Western,Rural,44673,20.7,47333,8433,13775,403,22611
Oconto,55083,Northeastern,Urban,37660,17.1,46633,6715,16226,274,23215
Oneida,55085,Northern,Rural,35998,26.8,45857,10105,13671,383,24159
Outagamie,55087,Northeastern,Urban,176695,30.7,55914,47667,58385,1970,108022
Ozaukee,55089,Southeastern,Urban,86395,50.4,74996,26517,33912,1057,61486
Pepin,55091,Western,Rural,7469,22.7,48446,1489,2584,71,4144
Pierce,55093,Western,Urban,41019,29.4,60181,9796,12815,706,23317
Polk,55095,Western,Rural,44205,22.3,49806,9370,16611,390,26371
Portage,55097,Northern,Rural,70019,33.4,51456,20428,19299,876,40603
Price,55099,Northern,Rural,14159,16.1,41026,3032,5394,120,8546
Racine,55101,Southeastern,Urban,195408,26.8,53855,50159,54479,1813,106451
Richland,55103,Southern,Rural,18021,20.1,43900,3995,4871,148,9014
Rock,55105,Southern,Urban,160331,24.2,49716,46658,37138,1564,85360
Rusk,55107,Western,Rural,14755,16.5,38352,2517,5257,112,7886
Sauk,55111,Southern,Rural,61976,24.9,50390,18108,17493,602,36203
Sawyer,55113,Northern,Rural,16557,25.2,37091,4498,5909,103,10510
Shawano,55115,Northeastern,Rural,41949,16.4,45841,7131,15173,311,22615
Sheboygan,55117,Northeastern,Urban,115507,26.2,51127,27101,37609,1301,66011
St. Croix,55109,Western,Urban,84345,36.9,67446,23190,32199,1318,56707
Taylor,55119,Northern,Rural,20689,16.5,44489,2693,7657,336,10686
Trempealeau,55121,Western,Rural,28816,20.4,46582,6285,8833,262,15380
Vernon,55123,Southern,Rural,29773,23.5,43632,7457,8218,248,15923
Vilas,55125,Northern,Rural,21430,28.4,41631,5903,9261,205,15369
Walworth,55127,Southeastern,Rural,102228,30.3,54487,22789,33851,960,57600
Washburn,55129,Western,Rural,15911,23,41641,3867,6334,177,10378
Washington,55131,Southeastern,Urban,131887,33.2,64434,26650,60237,1183,88070
Waukesha,55133,Southeastern,Urban,389891,46.9,75064,103906,159649,4441,267996
Waupaca,55135,Northeastern,Rural,52410,20.3,46876,9703,18952,475,29130
Waushara,55137,Northeastern,Rural,24496,16.7,42540,4388,9016,164,13568
Winnebago,55139,Northeastern,Urban,166994,29.3,50974,44060,47796,2176,94032
Wood,55141,Northern,Rural,74749,20.4,47204,16365,24308,625,41298
